NAME_1,NAME_2,lon,lat,F.dap,F,FDATE,FMCD,FACD,FDEP,FAMN,FAMP,FAMK,FAMC,FAMO,FOCD,FERNAME,q25,q50,q75
Kisumu,Muhoroni,35.325,-0.225,42,2,NA,FE006,AP004,5,36,19,0,-99,-99,-99,1st fert. 2nd application,65,69,76
Kisumu,Muhoroni,35.325,-0.225,0,1,NA,FE006,AP004,5,48,26,0,-99,-99,-99,2nd fert. 1st application,65,69,76
Kisumu,Muhoroni,35.325,-0.225,42,2,NA,FE006,AP004,5,48,26,0,-99,-99,-99,2nd fert. 2nd application,65,69,76
Kisumu,Muhoroni,35.325,-0.225,0,1,NA,FE006,AP004,5,36,19,0,-99,-99,-99,3rd fert. 1st application,65,69,76
Kisumu,Muhoroni,35.325,-0.225,42,2,NA,FE006,AP004,5,60,32,0,-99,-99,-99,3rd fert. 2nd application,65,69,76
Kisumu,Nyakach,34.775,-0.275,0,1,NA,FE006,AP004,5,57,72,0,-99,-99,-99,1st fert. 1st application,76,76,76
Kisumu,Nyakach,34.775,-0.275,42,2,NA,FE006,AP004,5,34,43,0,-99,-99,-99,1st fert. 2nd application,76,76,76
Kisumu,Nyakach,34.775,-0.275,0,1,NA,FE006,AP004,5,46,57,0,-99,-99,-99,2nd fert. 1st application,76,76,76
Kisumu,Nyakach,34.775,-0.275,42,2,NA,FE006,AP004,5,46,57,0,-99,-99,-99,2nd fert. 2nd application,76,76,76
Kisumu,Nyakach,34.775,-0.275,0,1,NA,FE006,AP004,5,34,43,0,-99,-99,-99,3rd fert. 1st application,76,76,76
Kisumu,Nyakach,34.775,-0.275,42,2,NA,FE006,AP004,5,57,72,0,-99,-99,-99,3rd fert. 2nd application,76,76,76
Kisumu,Nyando,34.825,-0.275,0,1,NA,FE006,AP004,5,75,40,0,-99,-99,-99,1st fert. 1st application,69,73,75
Kisumu,Nyando,34.825,-0.275,42,2,NA,FE006,AP004,5,45,24,0,-99,-99,-99,1st fert. 2nd application,69,73,75
Kisumu,Nyando,34.825,-0.275,0,1,NA,FE006,AP004,5,60,32,0,-99,-99,-99,2nd fert. 1st application,69,73,75
Kisumu,Nyando,34.825,-0.275,42,2,NA,FE006,AP004,5,60,32,0,-99,-99,-99,2nd fert. 2nd application,69,73,75
Kisumu,Nyando,34.825,-0.275,0,1,NA,FE006,AP004,5,45,24,0,-99,-99,-99,3rd fert. 1st application,69,73,75
Kisumu,Nyando,34.825,-0.275,42,2,NA,FE006,AP004,5,75,40,0,-99,-99,-99,3rd fert. 2nd application,69,73,75
Kisumu,Nyando,34.875,-0.275,0,1,NA,FE006,AP004,5,58,28,0,-99,-99,-99,1st fert. 1st application,60,70,74
Kisumu,Nyando,34.875,-0.275,42,2,NA,FE006,AP004,5,35,17,0,-99,-99,-99,1st fert. 2nd application,60,70,74
Kisumu,Nyando,34.875,-0.275,0,1,NA,FE006,AP004,5,46,22,0,-99,-99,-99,2nd fert. 1st application,60,70,74
Kisumu,Nyando,34.875,-0.275,42,2,NA,FE006,AP004,5,46,22,0,-99,-99,-99,2nd fert. 2nd application,60,70,74
Kisumu,Nyando,34.875,-0.275,0,1,NA,FE006,AP004,5,35,17,0,-99,-99,-99,3rd fert. 1st application,60,70,74
Kisumu,Nyando,34.875,-0.275,42,2,NA,FE006,AP004,5,58,28,0,-99,-99,-99,3rd fert. 2nd application,60,70,74
Kisumu,Nyakach,34.925,-0.275,0,1,NA,FE006,AP004,5,60,72,0,-99,-99,-99,1st fert. 1st application,64,68,72
Kisumu,Nyakach,34.925,-0.275,42,2,NA,FE006,AP004,5,36,43,0,-99,-99,-99,1st fert. 2nd application,64,68,72
Kisumu,Nyakach,34.925,-0.275,0,1,NA,FE006,AP004,5,48,58,0,-99,-99,-99,2nd fert. 1st application,64,68,72
Kisumu,Nyakach,34.925,-0.275,42,2,NA,FE006,AP004,5,48,58,0,-99,-99,-99,2nd fert. 2nd application,64,68,72
Kisumu,Nyakach,34.925,-0.275,0,1,NA,FE006,AP004,5,36,43,0,-99,-99,-99,3rd fert. 1st application,64,68,72
Kisumu,Nyakach,34.925,-0.275,42,2,NA,FE006,AP004,5,60,72,0,-99,-99,-99,3rd fert. 2nd application,64,68,72
Kisumu,Nyakach,34.975,-0.275,0,1,NA,FE006,AP004,5,52,61,0,-99,-99,-99,1st fert. 1st application,62,65,67
Kisumu,Nyakach,34.975,-0.275,42,2,NA,FE006,AP004,5,31,37,0,-99,-99,-99,1st fert. 2nd application,62,65,67
Kisumu,Nyakach,34.975,-0.275,0,1,NA,FE006,AP004,5,42,49,0,-99,-99,-99,2nd fert. 1st application,62,65,67
Kisumu,Nyakach,34.975,-0.275,42,2,NA,FE006,AP004,5,42,49,0,-99,-99,-99,2nd fert. 2nd application,62,65,67
Kisumu,Nyakach,34.975,-0.275,0,1,NA,FE006,AP004,5,31,37,0,-99,-99,-99,3rd fert. 1st application,62,65,67
Kisumu,Nyakach,34.975,-0.275,42,2,NA,FE006,AP004,5,52,61,0,-99,-99,-99,3rd fert. 2nd application,62,65,67
Kisumu,Nyando,35.025,-0.275,0,1,NA,FE006,AP004,5,55,32,0,-99,-99,-99,1st fert. 1st application,68,73,76
Kisumu,Nyando,35.025,-0.275,42,2,NA,FE006,AP004,5,33,19,0,-99,-99,-99,1st fert. 2nd application,68,73,76
Kisumu,Nyando,35.025,-0.275,0,1,NA,FE006,AP004,5,44,26,0,-99,-99,-99,2nd fert. 1st application,68,73,76
Kisumu,Nyando,35.025,-0.275,42,2,NA,FE006,AP004,5,44,26,0,-99,-99,-99,2nd fert. 2nd application,68,73,76
Kisumu,Nyando,35.025,-0.275,0,1,NA,FE006,AP004,5,33,19,0,-99,-99,-99,3rd fert. 1st application,68,73,76
Kisumu,Nyando,35.025,-0.275,42,2,NA,FE006,AP004,5,55,32,0,-99,-99,-99,3rd fert. 2nd application,68,73,76
Kisumu,Seme,34.475,-0.125,0,1,NA,FE006,AP004,5,39,52,0,-99,-99,-99,1st fert. 1st application,62,69,80
Kisumu,Seme,34.475,-0.125,42,2,NA,FE006,AP004,5,24,31,0,-99,-99,-99,1st fert. 2nd application,62,69,80
Kisumu,Seme,34.475,-0.125,0,1,NA,FE006,AP004,5,32,42,0,-99,-99,-99,2nd fert. 1st application,62,69,80
Kisumu,Seme,34.475,-0.125,42,2,NA,FE006,AP004,5,32,42,0,-99,-99,-99,2nd fert. 2nd application,62,69,80
Kisumu,Seme,34.475,-0.125,0,1,NA,FE006,AP004,5,24,31,0,-99,-99,-99,3rd fert. 1st application,62,69,80
Kisumu,Seme,34.475,-0.125,42,2,NA,FE006,AP004,5,39,52,0,-99,-99,-99,3rd fert. 2nd application,62,69,80
Kisumu,Seme,34.525,-0.125,0,1,NA,FE006,AP004,5,32,73,0,-99,-99,-99,1st fert. 1st application,64,78,78
Kisumu,Seme,34.525,-0.125,42,2,NA,FE006,AP004,5,19,44,0,-99,-99,-99,1st fert. 2nd application,64,78,78
Kisumu,Seme,34.525,-0.125,0,1,NA,FE006,AP004,5,26,58,0,-99,-99,-99,2nd fert. 1st application,64,78,78
Kisumu,Seme,34.525,-0.125,42,2,NA,FE006,AP004,5,26,58,0,-99,-99,-99,2nd fert. 2nd application,64,78,78
Kisumu,Seme,34.525,-0.125,0,1,NA,FE006,AP004,5,19,44,0,-99,-99,-99,3rd fert. 1st application,64,78,78
Kisumu,Seme,34.525,-0.125,42,2,NA,FE006,AP004,5,32,73,0,-99,-99,-99,3rd fert. 2nd application,64,78,78
Kisumu,Seme,34.575,-0.125,0,1,NA,FE006,AP004,5,73,54,0,-99,-99,-99,1st fert. 1st application,63,67,73
Kisumu,Seme,34.575,-0.125,42,2,NA,FE006,AP004,5,44,33,0,-99,-99,-99,1st fert. 2nd application,63,67,73
Kisumu,Seme,34.575,-0.125,0,1,NA,FE006,AP004,5,59,43,0,-99,-99,-99,2nd fert. 1st application,63,67,73
Kisumu,Seme,34.575,-0.125,42,2,NA,FE006,AP004,5,59,43,0,-99,-99,-99,2nd fert. 2nd application,63,67,73
Kisumu,Seme,34.575,-0.125,0,1,NA,FE006,AP004,5,44,33,0,-99,-99,-99,3rd fert. 1st application,63,67,73
Kisumu,Seme,34.575,-0.125,42,2,NA,FE006,AP004,5,73,54,0,-99,-99,-99,3rd fert. 2nd application,63,67,73
Kisumu,Kisumu West,34.625,-0.125,0,1,NA,FE006,AP004,5,70,45,0,-99,-99,-99,1st fert. 1st application,64,66,73
Kisumu,Kisumu West,34.625,-0.125,42,2,NA,FE006,AP004,5,42,27,0,-99,-99,-99,1st fert. 2nd application,64,66,73
Kisumu,Kisumu West,34.625,-0.125,0,1,NA,FE006,AP004,5,56,36,0,-99,-99,-99,2nd fert. 1st application,64,66,73
Kisumu,Kisumu West,34.625,-0.125,42,2,NA,FE006,AP004,5,56,36,0,-99,-99,-99,2nd fert. 2nd application,64,66,73
